"Designators","Package","Qty","Value","ProductNr"
"IC3","SOT363",1,"?SN74LVC1G58DCKR?",""
"IC2","HTU31D/V-MFG",1,"HTU31V",""
"IC1","FP-D0008A-IPC_A",1,"NE555DR",""
"IC4","SOT23-8",1,"TLV9352",""
"R10 R11","0603_R",2,"0",""
"R2","2512_R",1,"7.5",""
"R9","0603_R",1,"100",""
"R8","0603_R",1,"330",""
"R1","PIHER_N-6-R_Poti",1,"10k",""
"R14","0603_R",1,"22k",""
"R16","0603_R",1,"33k",""
"R15 R17","0603_R",2,"47k",""
"R12 R13","0603_R",2,"330k",""
"R3 R4 R5 R6 R7","0603_R",0,"n.b.",""
"C10 C11","0603_C",2,"2.2p_50V",""
"C6 C8","0603_C",2,"1n_50V",""
"C1","0603_C",1,"4.7n_50V",""
"C2","0603_C",1,"10n_50V",""
"C3 C5 C7 C9","0603_C",4,"100n_50V",""
"C4","0603_C",1,"1u_16V",""
"L1 L2 L3","0603_L",3,"100 Ohm @ 100mHz",""
"T1","SOT23",1,"Si2302CDS",""
"D3","MINIMELF-SOD80",1,"5.6V",""
"D1 D2","SOD323",2,"CUS357",""
"Logo_FH1","Logo_FH",0,"Logo",""
"D- D+","Testpad_1mm",0,"Testpad",""
