Altium Designer Pick and Place Locations
C:\Users\FHoch\Documents\Projekte\Telescope-Heater\PCB\USB_PD_Splitter\Project Outputs for USB_PD_Splitter\Pick Place for USB_PD_Splitter.csv

========================================================================================================================
File Design Information:

Date:       23.10.21
Time:       11:22
Revision:   c49cce387dc7e94a660c7ff1acdf9fdacfd47b3c
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R34","n.b.","BottomLayer","0603","6640,000","8817,874","180","R"
"R32","n.b.","BottomLayer","0603","8235,000","8817,874","180","R"
"R14","n.b.","TopLayer","0603","6750,000","8582,874","270","R"
"R16","n.b.","TopLayer","0603","8345,000","8582,874","270","R"
"R33","n.b.","BottomLayer","0603","6730,000","8787,874","90","R"
"R31","n.b.","BottomLayer","0603","8325,000","8787,874","90","R"
"R38","n.b.","BottomLayer","0603","6640,000","8757,874","180","R"
"R37","n.b.","BottomLayer","0603","8235,000","8757,874","180","R"
"R17","n.b.","TopLayer","0603","6686,596","8582,546","270","R"
"R18","n.b.","TopLayer","0603","8281,596","8582,546","270","R"
"R36","n.b.","BottomLayer","0603","7495,000","8762,874","0","R"
"R35","n.b.","BottomLayer","0603","9090,000","8762,874","0","R"
"R9","n.b.","TopLayer","0603","7440,000","8587,874","270","R"
"R12","n.b.","TopLayer","0603","9035,000","8587,874","270","R"
"R30","n.b.","BottomLayer","0603","7405,000","8792,874","270","R"
"R28","n.b.","BottomLayer","0603","9000,000","8792,874","270","R"
"R29","n.b.","BottomLayer","0603","7495,000","8822,874","0","R"
"R27","n.b.","BottomLayer","0603","9090,000","8822,874","0","R"
"R8","n.b.","TopLayer","0603","7380,000","8587,874","270","R"
"R11","n.b.","TopLayer","0603","8975,000","8587,874","270","R"
"Logo_FH1","Logo","TopLayer","Logo_FH","6784,370","7511,772","0","8x8 mm Logo Fabian Hochberg"
"R23","0","TopLayer","0603","6575,000","8240,000","270","R"
"R24","0","TopLayer","0603","8125,000","8265,000","180","R"
"R40","100k","BottomLayer","0603","6915,000","8432,874","90","R"
"R39","100k","BottomLayer","0603","8510,000","8432,874","90","R"
"R48","33","BottomLayer","0603","6910,000","8277,874","0","R"
"R46","33","BottomLayer","0603","8505,000","8277,874","0","R"
"R13","0.18","TopLayer","2512_R","6575,000","8475,374","90","R"
"R15","0.18","TopLayer","2512_R","8170,000","8475,374","90","R"
"R44","47k","BottomLayer","0603","6910,000","8337,874","0","R"
"R43","47k","BottomLayer","0603","8505,000","8337,874","0","R"
"R1","6.8k","TopLayer","0603","6360,000","9035,000","270","R"
"R3","6.8k","TopLayer","0603","7955,000","9035,000","270","R"
"R21","0","TopLayer","0603","7300,000","8277,874","0","R"
"R22","0","TopLayer","0603","8895,000","8277,874","0","R"
"R19","100k","TopLayer","0603","7084,859","8448,020","90","R"
"R20","100k","TopLayer","0603","8679,859","8448,020","90","R"
"R47","33","BottomLayer","0603","7105,000","8277,874","180","R"
"R45","33","BottomLayer","0603","8700,000","8277,874","180","R"
"R7","0.18","TopLayer","2512_R","7275,000","8480,374","90","R"
"R10","0.18","TopLayer","2512_R","8870,000","8480,374","90","R"
"R42","47k","BottomLayer","0603","7030,000","8342,874","180","R"
"R41","47k","BottomLayer","0603","8625,000","8342,874","180","R"
"R2","6.8k","TopLayer","0603","7765,000","9035,000","270","R"
"R4","6.8k","TopLayer","0603","9360,000","9035,000","270","R"
"R5","680","TopLayer","0603","6240,000","8916,500","270","R"
"R25","0","TopLayer","0603","7345,000","8130,000","180","R"
"R6","6.8k","TopLayer","0603","9485,000","8910,000","270","R"
"R26","0","TopLayer","0603","8220,000","8100,000","270","R"
"LED2","Red","TopLayer","0603_LED","6300,000","9035,000","90","LED"
"LED4","Red","TopLayer","0603_LED","7895,000","9035,000","90","LED"
"LED3","Red","TopLayer","0603_LED","7825,000","9035,000","90","LED"
"LED5","Red","TopLayer","0603_LED","9420,000","9035,000","90","LED"
"LED1","Green","TopLayer","0603_LED","6240,000","9036,500","270","LED"
"LED6","Orange","TopLayer","0603_LED","9485,000","9035,000","270","LED"
"L8","100 Ohm @ 100MHz","BottomLayer","0603_L","6650,000","8477,874","0","0,15 Ohm 1A max
100 Ohm @ 100MHz"
"L7","100 Ohm @ 100MHz","BottomLayer","0603_L","8245,000","8477,874","0","0,15 Ohm 1A max
100 Ohm @ 100MHz"
"L6","100 Ohm @ 100MHz","BottomLayer","0603_L","7205,000","8482,874","270","0,15 Ohm 1A max
100 Ohm @ 100MHz"
"L5","100 Ohm @ 100MHz","BottomLayer","0603_L","8800,000","8482,874","270","0,15 Ohm 1A max
100 Ohm @ 100MHz"
"L3","100 Ohm @ 100MHz","TopLayer","0603_L","6935,000","8160,000","90","0,15 Ohm 1A max
100 Ohm @ 100MHz"
"L4","100 Ohm @ 100MHz","TopLayer","0603_L","6995,000","8160,000","90","0,15 Ohm 1A max
100 Ohm @ 100MHz"
"L1","100 Ohm @ 100MHz","TopLayer","0603_L","8245,000","8235,000","90","0,15 Ohm 1A max
100 Ohm @ 100MHz"
"L2","100 Ohm @ 100MHz","TopLayer","0603_L","8300,000","8235,000","90","0,15 Ohm 1A max
100 Ohm @ 100MHz"
"J1","61400416021","TopLayer","61400416021","6715,000","8750,394","180","USB 2.0 Type A Receptacle WR-COM, Horizontal, THT"
"J3","61400416021","TopLayer","61400416021","8310,000","8750,394","180","USB 2.0 Type A Receptacle WR-COM, Horizontal, THT"
"J2","61400416021","TopLayer","61400416021","7415,000","8750,394","180","USB 2.0 Type A Receptacle WR-COM, Horizontal, THT"
"J4","61400416021","TopLayer","61400416021","9010,000","8750,394","180","USB 2.0 Type A Receptacle WR-COM, Horizontal, THT"
"J5","ZY12PDN","TopLayer","ZY12PDN_BRPCB","8503,307","7915,000","0",""
"IC6","TLV9352","BottomLayer","SOT23-8","7023,819","8440,669","180","OP / Comparator"
"IC5","TLV9352","BottomLayer","SOT23-8","8618,819","8440,669","180","OP / Comparator"
"IC1","n.b.","TopLayer","SOT223","6700,000","7970,000","0","Fixedvoltage LDO, Pinassignment A"
"IC2","n.b.","TopLayer","SOT223","7190,000","7970,000","0","Fixedvoltage LDO, Pinassignment A"
"IC3","n.b.","TopLayer","SOT223","7495,000","7970,000","0","Fixedvoltage LDO, Pinassignment A"
"IC4","n.b.","TopLayer","SOT223","7980,000","7965,000","0","Fixedvoltage LDO, Pinassignment A"
"F3","2A","TopLayer","0603","6810,000","8297,874","270","Fuse"
"F4","2A","TopLayer","0603","8405,000","8297,874","270","Fuse"
"F1","2A","TopLayer","0603","7505,000","8342,874","270","Fuse"
"F2","2A","TopLayer","0603","9100,000","8342,874","270","Fuse"
"D2","5,6V","TopLayer","MINIMELF-SOD80","7615,000","8260,000","90","Zener Diode"
"D1","5,6V","TopLayer","MINIMELF-SOD80","6255,000","8720,000","90","Zener Diode"
"C25","2.2p_50V","BottomLayer","0603","6855,000","8432,874","270","Keramikkondensator"
"C24","2.2p_50V","BottomLayer","0603","8450,000","8432,874","270","Keramikkondensator"
"C3","47u_16V","TopLayer","CAPAE_5x5.4","6895,000","8477,874","0","Elko"
"C4","47u_16V","TopLayer","CAPAE_5x5.4","8490,000","8477,874","0","Elko"
"C23","1n_50V","BottomLayer","0603","6530,000","8507,874","180","Keramikkondensator"
"C22","1n_50V","BottomLayer","0603","8125,000","8507,874","180","Keramikkondensator"
"C29","2.2p_50V","BottomLayer","0603","6530,000","8447,874","180","Keramikkondensator"
"C28","2.2p_50V","BottomLayer","0603","8125,000","8447,874","180","Keramikkondensator"
"C5","2.2p_50V","TopLayer","0603","7144,859","8448,020","270","Keramikkondensator"
"C6","2.2p_50V","TopLayer","0603","8739,859","8448,020","270","Keramikkondensator"
"C1","47u_16V","TopLayer","CAPAE_5x5.4","7610,000","8522,874","0","Elko"
"C2","47u_16V","TopLayer","CAPAE_5x5.4","9205,000","8522,874","0","Elko"
"C21","1n_50V","BottomLayer","0603","7330,000","8517,874","0","Keramikkondensator"
"C20","1n_50V","BottomLayer","0603","8925,000","8517,874","0","Keramikkondensator"
"C27","2.2p_50V","BottomLayer","0603","7330,000","8457,874","0","Keramikkondensator"
"C26","2.2p_50V","BottomLayer","0603","8925,000","8457,874","0","Keramikkondensator"
"C19","100n_50V","BottomLayer","0603","7025,000","8542,874","180","Keramikkondensator"
"C18","100n_50V","BottomLayer","0603","8620,000","8542,874","180","Keramikkondensator"
"C8","n.b.","TopLayer","CAPAE_4x5.4","6945,000","7975,039","270","Elko"
"C15","n.b.","TopLayer","0603","6655,000","7770,000","180","Keramikkondensator"
"C16","n.b.","TopLayer","0603","6785,000","7740,000","270","Keramikkondensator"
"C10","n.b.","TopLayer","0603","7150,000","7775,000","180","Keramikkondensator"
"C11","n.b.","TopLayer","0603","7280,000","7745,000","270","Keramikkondensator"
"C12","n.b.","TopLayer","0603","7450,000","7775,000","180","Keramikkondensator"
"C13","n.b.","TopLayer","0603","7585,000","7745,000","270","Keramikkondensator"
"C7","n.b.","TopLayer","CAPAE_4x5.4","7735,000","7990,000","270","Elko"
"C9","10µ_16V","TopLayer","CAPAE_4x5.4","8225,000","7920,000","270","Elko"
"C17","n.b.","TopLayer","0603","7935,000","7770,000","180","Keramikkondensator"
"C14","n.b.","TopLayer","0603","8070,000","7745,000","270","Keramikkondensator"
