# Created by VisualPlace version 3.1.6315 at Sat Oct 23 11:59:45 2021
# Report origin: (0.0/0.0) = lower left corner of PCB
# Units: inch
"Designator","Value","X","Y","Rotation","Side","Package","Type"

"IC1","n.b.","0.5102","0.6655","0.0","Top","SOT223","SMD"
"IC2","n.b.","1.0002","0.6655","0.0","Top","SOT223","SMD"
"IC3","n.b.","1.3052","0.6655","0.0","Top","SOT223","SMD"
"IC4","n.b.","1.7902","0.6605","0.0","Top","SOT223","SMD"
"R21","0","1.1102","0.9725","0.0","Top","0603","SMD"
"R22","0","2.7052","0.9725","0.0","Top","0603","SMD"
"R23","0","0.3852","0.9355","270.0","Top","0603","SMD"
"R24","0","1.9352","0.9605","180.0","Top","0603","SMD"
"R25","0","1.1552","0.8255","180.0","Top","0603","SMD"
"R26","0","2.0302","0.7955","270.0","Top","0603","SMD"
"R7","0.18","1.0852","1.1755","90.0","Top","2512","SMD"
"R10","0.18","2.6802","1.1755","90.0","Top","2512","SMD"
"R13","0.18","0.3852","1.1705","90.0","Top","2512","SMD"
"R15","0.18","1.9802","1.1705","90.0","Top","2512","SMD"
"R5","680","0.0502","1.6115","270.0","Top","0603","SMD"
"R1","6.8k","0.1702","1.7305","270.0","Top","0603","SMD"
"R2","6.8k","1.5752","1.7305","270.0","Top","0603","SMD"
"R3","6.8k","1.7652","1.7305","270.0","Top","0603","SMD"
"R4","6.8k","3.1702","1.7305","270.0","Top","0603","SMD"
"R6","6.8k","3.2952","1.6055","270.0","Top","0603","SMD"
"R19","100k","0.8942","1.1435","90.0","Top","0603","SMD"
"R20","100k","2.4892","1.1435","90.0","Top","0603","SMD"
"R8","n.b.","1.1902","1.2825","270.0","Top","0603","SMD"
"R9","n.b.","1.2502","1.2825","270.0","Top","0603","SMD"
"R11","n.b.","2.7852","1.2825","270.0","Top","0603","SMD"
"R12","n.b.","2.8452","1.2825","270.0","Top","0603","SMD"
"R14","n.b.","0.5602","1.2775","270.0","Top","0603","SMD"
"R16","n.b.","2.1552","1.2775","270.0","Top","0603","SMD"
"R17","n.b.","0.4962","1.2775","270.0","Top","0603","SMD"
"R18","n.b.","2.0912","1.2775","270.0","Top","0603","SMD"
"C5","2.2p_50V","0.9542","1.1435","270.0","Top","0603","SMD"
"C6","2.2p_50V","2.5492","1.1435","270.0","Top","0603","SMD"
"C1","47u_16V","1.4202","1.2175","0.0","Top","CAE5.0","SMD"
"C2","47u_16V","3.0152","1.2175","0.0","Top","CAE5.0","SMD"
"C3","47u_16V","0.7052","1.1725","0.0","Top","CAE5.0","SMD"
"C4","47u_16V","2.3002","1.1725","0.0","Top","CAE5.0","SMD"
"C9","10µ_16V","2.0352","0.6155","270.0","Top","CAE4.0","SMD"
"C10","n.b.","0.9602","0.4705","180.0","Top","0603","SMD"
"C11","n.b.","1.0902","0.4405","270.0","Top","0603","SMD"
"C12","n.b.","1.2602","0.4705","180.0","Top","0603","SMD"
"C13","n.b.","1.3952","0.4405","270.0","Top","0603","SMD"
"C14","n.b.","1.8802","0.4405","270.0","Top","0603","SMD"
"C15","n.b.","0.4652","0.4655","180.0","Top","0603","SMD"
"C16","n.b.","0.5952","0.4355","270.0","Top","0603","SMD"
"C17","n.b.","1.7452","0.4655","180.0","Top","0603","SMD"
"C7","n.b.","1.5452","0.6855","270.0","Top","CAE4.0","SMD"
"C8","n.b.","0.7552","0.6705","270.0","Top","CAE4.0","SMD"
"L1","100 Ohm @ 100mHz","2.0552","0.9305","90.0","Top","0603","SMD"
"L2","100 Ohm @ 100mHz","2.1102","0.9305","90.0","Top","0603","SMD"
"L3","100 Ohm @ 100mHz","0.7452","0.8555","90.0","Top","0603","SMD"
"L4","100 Ohm @ 100mHz","0.8052","0.8555","90.0","Top","0603","SMD"
"F1","2A","1.3152","1.0375","270.0","Top","0603","SMD"
"F2","2A","2.9102","1.0375","270.0","Top","0603","SMD"
"F3","2A","0.6202","0.9925","270.0","Top","0603","SMD"
"F4","2A","2.2152","0.9925","270.0","Top","0603","SMD"
"D1","5,6V","0.0652","1.4155","90.0","Top","DO213AA","SMD"
"D2","5,6V","1.4252","0.9555","90.0","Top","DO213AA","SMD"
"LED1","Green","0.0502","1.7315","270.0","Top","0603D","SMD"
"LED6","Orange","3.2952","1.7305","270.0","Top","0603D","SMD"
"LED2","Red","0.1102","1.7305","90.0","Top","0603D","SMD"
"LED3","Red","1.6352","1.7305","90.0","Top","0603D","SMD"
"LED4","Red","1.7052","1.7305","90.0","Top","0603D","SMD"
"LED5","Red","3.2302","1.7305","90.0","Top","0603D","SMD"
"J5","ZY12PDN","2.3132","0.6105","0.0","Top","ZY12PDN_BRPCB","SMD"
"Logo_FH1","Logo","0.5942","0.2065","0.0","Top","Logo_FH","SMD"
"J1","61400416021","0.5252","1.4455","180.0","Top","USB-A-480371000","SMD"
"J2","61400416021","1.2252","1.4455","180.0","Top","USB-A-480371000","SMD"
"J3","61400416021","2.1202","1.4455","180.0","Top","USB-A-480371000","SMD"
